Numero de soluciones: 333

Los valores de cada columna corresponden a R1, R2, R3, C4, C5, G, err(G), wp, err(wp), Qp, Err(Qp),SR1, SR2, SR3 y ST

   R1     R2    R3     C4     C5     G   err(G)    wp   err(wp)  Qp   Err(Qp)  SR1     SR2    SR3    ST
 1780   5360  1470 1.6e-07 2.0e-08 3.011 0.3745 6297.73 0.2315 0.7053 0.2386 0.3932 0.3694 0.0238 0.7865
17800  53600 14700 1.6e-08 2.0e-09 3.011 0.3745 6297.73 0.2315 0.7053 0.2386 0.3932 0.3694 0.0238 0.7865
 4750  14300  2610 7.5e-08 9.1e-09 3.011 0.3509 6265.57 0.2804 0.7081 0.1606 0.3172 0.3946 0.0774 0.7892
 6980  21000  3830 5.1e-08 6.2e-09 3.009 0.2865 6270.61 0.2001 0.7076 0.0782 0.3170 0.3946 0.0777 0.7893
 4320  13000  2370 8.2e-08 1.0e-08 3.009 0.3086 6291.40 0.1307 0.7064 0.0890 0.3169 0.3947 0.0777 0.7894
43200 130000 23700 8.2e-09 1.0e-09 3.009 0.3086 6291.40 0.1307 0.7064 0.0890 0.3169 0.3947 0.0777 0.7894
 3920  11800  2150 9.1e-08 1.1e-08 3.010 0.3401 6275.13 0.1282 0.7094 0.3386 0.3169 0.3947 0.0778 0.7894
39200 118000 21500 9.1e-09 1.1e-09 3.010 0.3401 6275.13 0.1282 0.7094 0.3386 0.3169 0.3947 0.0778 0.7894
 6340  19100  3480 5.6e-08 6.8e-09 3.013 0.4206 6285.58 0.0381 0.7076 0.0857 0.3171 0.3947 0.0777 0.7895
 4420  13300  2320 8.2e-08 1.0e-08 3.009 0.3017 6286.71 0.0561 0.7038 0.4526 0.3089 0.3973 0.0885 0.7947
44200 133000 23200 8.2e-09 1.0e-09 3.009 0.3017 6286.71 0.0561 0.7038 0.4526 0.3089 0.3973 0.0885 0.7947
 7150  21500  3740 5.1e-08 6.2e-09 3.007 0.2331 6271.39 0.1877 0.7049 0.2996 0.3082 0.3975 0.0893 0.7950
 4019  12100  2100 9.1e-08 1.1e-08 3.010 0.3317 6270.19 0.2068 0.7065 0.0665 0.3080 0.3977 0.0896 0.7953
40199 121000 21000 9.1e-09 1.1e-09 3.010 0.3317 6270.19 0.2068 0.7065 0.0665 0.3080 0.3977 0.0896 0.7953
 3650  11000  1910 1.0e-07 1.2e-08 3.014 0.4566 6297.91 0.2343 0.7089 0.2647 0.3084 0.3977 0.0893 0.7954
36500 110000 19100 1.0e-08 1.2e-09 3.014 0.4566 6297.91 0.2343 0.7089 0.2647 0.3084 0.3977 0.0893 0.7954
 2430   7320  1270 1.5e-07 1.8e-08 3.012 0.4115 6311.91 0.4571 0.7089 0.2714 0.3081 0.3977 0.0896 0.7954
24300  73200 12700 1.5e-08 1.8e-09 3.012 0.4115 6311.91 0.4571 0.7089 0.2714 0.3081 0.3977 0.0896 0.7954
 5490  16500  2740 6.8e-08 8.2e-09 3.005 0.1821 6298.27 0.2401 0.7047 0.3200 0.2997 0.4003 0.1005 0.8005
18700  56200  9310 2.0e-08 2.4e-09 3.005 0.1783 6310.10 0.4284 0.7063 0.0992 0.2993 0.4004 0.1011 0.8008
10500  31600  5230 3.6e-08 4.3e-09 3.010 0.3175 6252.02 0.4961 0.7076 0.0819 0.2994 0.4005 0.1011 0.8010
24900  75000 12400 1.5e-08 1.8e-09 3.012 0.4016 6310.69 0.4377 0.7057 0.1857 0.2994 0.4006 0.1012 0.8012
 2490   7500  1240 1.5e-07 1.8e-08 3.012 0.4016 6310.69 0.4377 0.7057 0.1857 0.2994 0.4006 0.1012 0.8012
 1740   5230  1500 1.6e-07 2.0e-08 3.006 0.1916 6311.44 0.4497 0.7049 0.2968 0.4012 0.3665 0.0346 0.8023
17400  52300 15000 1.6e-08 2.0e-09 3.006 0.1916 6311.44 0.4497 0.7049 0.2968 0.4012 0.3665 0.0346 0.8023
 2320   6980  2000 1.2e-07 1.5e-08 3.009 0.2874 6308.43 0.4017 0.7047 0.3317 0.4012 0.3666 0.0346 0.8024
23200  69800 20000 1.2e-08 1.5e-09 3.009 0.2874 6308.43 0.4017 0.7047 0.3317 0.4012 0.3666 0.0346 0.8024
 8870  26700  4320 4.3e-08 5.1e-09 3.010 0.3382 6287.58 0.0699 0.7084 0.1935 0.2954 0.4019 0.1065 0.8037
 3570  10700  1650 1.1e-07 1.3e-08 2.997 0.0934 6293.59 0.1655 0.7067 0.0440 0.2859 0.4046 0.1187 0.8092
35700 107000 16500 1.1e-08 1.3e-09 2.997 0.0934 6293.59 0.1655 0.7067 0.0440 0.2859 0.4046 0.1187 0.8092
 9090  27400  4220 4.3e-08 5.1e-09 3.014 0.4767 6279.85 0.0531 0.7042 0.3994 0.2869 0.4048 0.1179 0.8097
27400  82500 10700 1.6e-08 1.8e-09 3.011 0.3650 6271.69 0.1829 0.7063 0.0998 0.2569 0.4147 0.1578 0.8294
 2740   8250  1070 1.6e-07 1.8e-08 3.011 0.3650 6271.69 0.1829 0.7063 0.0998 0.2569 0.4147 0.1578 0.8294
 4990  15000  1870 9.1e-08 1.0e-08 3.006 0.2004 6259.11 0.3831 0.7104 0.4741 0.2499 0.4169 0.1669 0.8337
49900 150000 18700 9.1e-09 1.0e-09 3.006 0.2004 6259.11 0.3831 0.7104 0.4741 0.2499 0.4169 0.1669 0.8337
 6650  20000  2490 6.8e-08 7.5e-09 3.008 0.2506 6274.81 0.1334 0.7088 0.2550 0.2498 0.4169 0.1671 0.8339
 8870  26700  3320 5.1e-08 5.6e-09 3.010 0.3382 6284.87 0.0268 0.7101 0.4356 0.2498 0.4170 0.1673 0.8341
 5490  16500  2050 8.2e-08 9.1e-09 3.005 0.1821 6294.39 0.1783 0.7065 0.0709 0.2493 0.4170 0.1677 0.8341
24900  75000  9310 1.8e-08 2.0e-09 3.012 0.4016 6307.30 0.3837 0.7056 0.2011 0.2496 0.4171 0.1675 0.8343
22599  68100  8450 2.0e-08 2.2e-09 3.013 0.4425 6284.51 0.0212 0.7090 0.2846 0.2496 0.4172 0.1676 0.8343
 8060  24300  3010 5.6e-08 6.2e-09 3.015 0.4963 6275.14 0.1280 0.7064 0.0817 0.2494 0.4173 0.1679 0.8345
 9090  27400  3240 5.1e-08 5.6e-09 3.014 0.4767 6280.19 0.0476 0.7037 0.4663 0.2417 0.4198 0.1781 0.8396
 4220  12700  1500 1.1e-07 1.2e-08 3.009 0.3160 6306.17 0.3658 0.7061 0.1238 0.2412 0.4198 0.1786 0.8397
42200 127000 15000 1.1e-08 1.2e-09 3.009 0.3160 6306.17 0.3658 0.7061 0.1238 0.2412 0.4198 0.1786 0.8397
 7500  22599  2670 6.2e-08 6.8e-09 3.013 0.4444 6269.60 0.2162 0.7041 0.4172 0.2415 0.4199 0.1784 0.8397
10000  30099  9530 2.7e-08 3.3e-09 3.010 0.3333 6255.06 0.4476 0.7091 0.3038 0.4199 0.3605 0.0594 0.8398
39200 118000 13700 1.2e-08 1.3e-09 3.010 0.3401 6297.04 0.2205 0.7064 0.0907 0.2385 0.4208 0.1823 0.8416
 3920  11800  1370 1.2e-07 1.3e-08 3.010 0.3401 6297.04 0.2205 0.7064 0.0907 0.2385 0.4208 0.1823 0.8416
10000  30099  3480 4.7e-08 5.1e-09 3.010 0.3333 6310.93 0.4415 0.7053 0.2474 0.2378 0.4210 0.1832 0.8420
32400  97600 31600 8.2e-09 1.0e-09 3.012 0.4115 6288.18 0.0794 0.7087 0.2426 0.4242 0.3592 0.0650 0.8484
 3240   9760  3160 8.2e-08 1.0e-08 3.012 0.4115 6288.18 0.0794 0.7087 0.2426 0.4242 0.3592 0.0650 0.8484
 4750  14300  4640 5.6e-08 6.8e-09 3.011 0.3509 6291.07 0.1255 0.7103 0.4696 0.4245 0.3590 0.0655 0.8489
 9760  29400  9760 2.7e-08 3.3e-09 3.012 0.4098 6254.07 0.4634 0.7067 0.0384 0.4288 0.3576 0.0712 0.8576
 7870  23700  2320 6.8e-08 6.8e-09 3.011 0.3812 6271.52 0.1856 0.7104 0.4845 0.2117 0.4297 0.2180 0.8594
10500  31600  3090 5.1e-08 5.1e-09 3.010 0.3175 6274.90 0.1318 0.7104 0.4743 0.2114 0.4298 0.2184 0.8595
 7150  21500  2100 7.5e-08 7.5e-09 3.007 0.2331 6274.94 0.1312 0.7103 0.4674 0.2111 0.4298 0.2187 0.8596
 8660  26100  2550 6.2e-08 6.2e-09 3.014 0.4619 6251.99 0.4966 0.7100 0.4250 0.2115 0.4298 0.2183 0.8596
24300  73200  7150 2.2e-08 2.2e-09 3.012 0.4115 6283.02 0.0026 0.7100 0.4303 0.2114 0.4298 0.2184 0.8597
13700  41200  4019 3.9e-08 3.9e-09 3.007 0.2433 6300.48 0.2753 0.7101 0.4423 0.2109 0.4299 0.2189 0.8597
 4120  12400  1210 1.3e-07 1.3e-08 3.010 0.3236 6279.91 0.0522 0.7100 0.4271 0.2111 0.4299 0.2188 0.8597
41200 124000 12100 1.3e-08 1.3e-09 3.010 0.3236 6279.91 0.0522 0.7100 0.4271 0.2111 0.4299 0.2188 0.8597
16200  48700  4750 3.3e-08 3.3e-09 3.006 0.2058 6300.50 0.2755 0.7101 0.4420 0.2108 0.4299 0.2190 0.8597
17800  53600  5230 3.0e-08 3.0e-09 3.011 0.3745 6295.72 0.1995 0.7099 0.4150 0.2112 0.4299 0.2187 0.8597
